Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
79*,111,73,6,3,108.21,5,not out,1,v New Zealand,Hamilton,28 Jan 2014
47,79,72,3,0,65.27,6,caught,2,v New Zealand,Wellington,31 Jan 2014
52,94,51,6,0,101.96,6,bowled,1,v England,Cardiff,27 Aug 2014
DNB,-,-,-,-,-,-,-,2,v England,Nottingham,30 Aug 2014
DNB,-,-,-,-,-,-,-,2,v England,Birmingham,2 Sep 2014
29,63,42,1,1,69.04,6,caught,2,v England,Leeds,5 Sep 2014
8,37,21,0,0,38.09,6,bowled,2,v West Indies,Kochi,8 Oct 2014
51*,66,40,5,1,127.50,6,not out,1,v West Indies,Delhi,11 Oct 2014
6,10,5,0,0,120.00,5,run out,1,v West Indies,Dharamsala,17 Oct 2014
19,42,31,2,0,61.29,6,bowled,1,v Australia,Melbourne,18 Jan 2015
34,70,61,1,0,55.73,6,caught,1,v England,Brisbane,20 Jan 2015
DNB,-,-,-,-,-,-,-,1,v Australia,Sydney,26 Jan 2015
17,38,32,3,0,53.12,6,lbw,1,v England,Perth,30 Jan 2015
18,22,13,1,1,138.46,5,caught,1,v Pakistan,Adelaide,15 Feb 2015
18,22,11,3,0,163.63,6,caught,1,v South Africa,Melbourne,22 Feb 2015
DNB,-,-,-,-,-,-,-,2,v U.A.E.,Perth,28 Feb 2015
45*,96,56,3,1,80.35,6,not out,2,v West Indies,Perth,6 Mar 2015
DNB,-,-,-,-,-,-,-,2,v Ireland,Hamilton,10 Mar 2015
85*,113,76,8,2,111.84,6,not out,2,v Zimbabwe,Auckland,14 Mar 2015
6,28,11,0,0,54.54,6,caught,1,v Bangladesh,Melbourne,19 Mar 2015
65,94,65,3,2,100.00,6,run out,2,v Australia,Sydney,26 Mar 2015
5,13,7,0,0,71.42,6,caught,2,v Bangladesh,Mirpur,18 Jun 2015
47,112,75,3,0,62.66,4,caught,1,v Bangladesh,Mirpur,21 Jun 2015
69,112,77,6,1,89.61,4,caught,1,v Bangladesh,Mirpur,24 Jun 2015
31,54,30,1,0,103.33,5,caught,2,v South Africa,Kanpur,11 Oct 2015
92*,144,86,7,4,106.97,5,not out,1,v South Africa,Indore,14 Oct 2015
47,85,61,5,0,77.04,4,caught,2,v South Africa,Rajkot,18 Oct 2015
15,28,16,1,0,93.75,6,caught,1,v South Africa,Chennai,22 Oct 2015
27,50,29,3,0,93.10,6,bowled,2,v South Africa,Wankhede,25 Oct 2015
18,18,13,1,1,138.46,4,caught,1,v Australia,Perth,12 Jan 2016
11,16,10,0,0,110.00,5,caught,1,v Australia,Brisbane,15 Jan 2016
23,23,9,2,2,255.55,5,caught,1,v Australia,Melbourne,17 Jan 2016
0,2,3,0,0,0.00,4,caught,2,v Australia,Canberra,20 Jan 2016
34,64,42,1,1,80.95,5,caught,2,v Australia,Sydney,23 Jan 2016
DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare,11 Jun 2016
DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare,13 Jun 2016
DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare,15 Jun 2016
21,41,24,1,1,87.50,5,run out,2,v New Zealand,Dharamsala,16 Oct 2016
39,95,65,3,0,60.00,5,caught,2,v New Zealand,Delhi,20 Oct 2016
80,122,91,6,3,87.91,4,caught,2,v New Zealand,Mohali,23 Oct 2016
11,36,31,0,0,35.48,4,bowled,2,v New Zealand,Ranchi,26 Oct 2016
